slope,aspect,elevation,ndvi,humidity,label
1.822924,55.096294,268.0,0.64428973,71.141106,1
0.9333367,299.79013,223.0,0.5000697,71.141106,1
3.7386625,246.26173,269.0,0.5551982,71.141106,1
0.4679028,187.65294,282.0,0.5748408,71.45114,1
0.46694136,221.85376,285.0,0.586309,71.45114,1
0.63662314,43.246246,291.0,0.5592005,71.45114,1
0.4123368,294.9449,326.0,0.6311701,71.45114,1
1.0696237,144.37332,316.0,0.65250015,71.26377,1
7.6066823,282.24686,661.0,0.72466415,71.8478,1
1.9617305,217.10559,724.0,0.6997416,71.8478,1
6.842629,167.96819,664.0,0.75339425,71.8478,1
2.4968383,167.02837,600.0,0.72901756,71.8478,1
0.98636955,34.645218,281.0,0.59208643,71.141106,1
2.7159486,63.39223,273.0,0.6599324,71.141106,1
1.3728828,239.56322,271.0,0.58878636,71.141106,1
3.3428879,200.71722,269.0,0.58985007,71.141106,1
3.0543082,232.64458,285.0,0.64487284,71.141106,1
1.4888676,218.87538,307.0,0.6577978,71.45114,1
1.0614797,224.77661,313.0,0.5821138,71.45114,1
0.9764749,224.577,319.0,0.6778119,71.45114,1
0.6406606,174.41878,324.0,0.4641817,71.45114,1
9.78237,274.71234,682.0,0.7249387,71.8478,1
2.6533465,206.47942,709.0,0.7367376,71.8478,1
6.696601,141.64107,701.0,0.69533956,71.8478,1
12.027461,187.03674,574.0,0.71043676,71.8478,1
6.8996305,226.71713,593.0,0.7100335,71.8478,1
8.214494,174.37973,655.0,0.66362303,71.8478,1
10.873818,117.27193,580.0,0.7050336,71.8478,1
0.8602487,250.31178,263.0,0.5466037,71.141106,1
0.60905254,197.87273,273.0,0.5778984,71.141106,1
0.34041324,227.067,282.0,0.57766294,71.141106,1
1.6828622,88.02656,277.0,0.57638484,71.141106,1
2.236394,208.2555,238.0,0.7162381,71.141106,1
3.0608401,227.067,268.0,0.6944031,71.141106,1
3.1587691,200.77531,274.0,0.7003362,71.141106,1
2.2732625,186.29115,286.0,0.6742171,71.141106,1
0.63762367,180.0,305.0,0.54647094,71.26377,1
0.19570875,252.7708,304.0,0.724153,71.26377,1
4.692211,237.99188,415.0,0.765782,71.26377,1
4.040621,205.53506,618.0,0.6901372,71.8478,1
9.353261,185.68373,620.0,0.69511616,71.8478,1
8.931826,170.03847,633.0,0.6211313,71.8478,1
4.3209047,137.43132,595.0,0.6840312,71.8478,1
2.8838246,114.946236,586.0,0.72846043,71.8478,1
8.80271,113.07914,553.0,0.68976724,71.8478,1
10.100301,167.66219,455.0,0.6437761,71.8478,1
11.067146,198.81265,518.0,0.6459742,71.8478,1
13.70623,181.27751,513.0,0.67469096,71.8478,1
10.949976,147.34314,523.0,0.7458331,71.8478,1
11.378628,122.542435,417.0,0.7105403,71.8478,1
1.6977038,262.1523,268.0,0.54013985,71.141106,1
1.3923568,182.56432,271.0,0.59712553,71.141106,1
0.9463963,203.26486,272.0,0.60530025,71.141106,1
1.1082845,186.45514,277.0,0.62370193,71.141106,1
1.2061542,101.08196,274.0,0.6476835,71.141106,1
0.8424689,105.97454,235.0,0.6999586,71.141106,1
3.098771,206.22675,249.0,0.7768104,71.141106,1
