slope,aspect,elevation,ndvi,humidity,label
0.6218716,221.78107,1107.0,0.6899387,71.07292,1
5.038,204.95424,1135.0,0.6533886,71.07292,1
2.5501347,155.32033,1143.0,0.638571,71.07292,1
6.99257,69.22512,1117.0,0.5651082,71.07292,1
8.582863,51.92385,1032.0,0.5954723,71.07292,1
5.0364046,31.839098,1002.0,0.60317945,71.07292,1
4.142843,352.62454,987.0,0.6420457,71.07292,1
4.458063,357.72168,1011.0,0.541954,71.07292,1
2.2519581,12.132762,990.0,0.57663995,71.07292,1
1.0112357,55.02762,1051.0,0.5046271,67.899414,1
6.8487086,322.35712,1056.0,0.5179487,67.899414,1
1.8650157,221.78061,944.0,0.63928586,72.92775,1
1.7425331,183.89444,951.0,0.560008,72.92775,1
1.5076048,258.9183,946.0,0.60882324,72.92775,1
2.476543,297.8946,976.0,0.6085583,72.92775,1
1.7050585,49.7768,983.0,0.59798944,72.92775,1
1.0818334,130.01012,954.0,0.62175864,72.92775,1
1.5742071,222.58372,969.0,0.73291415,72.92775,1
2.7858684,192.25777,972.0,0.6490049,72.92775,1
4.2537856,197.79292,979.0,0.5727697,72.92775,1
4.985664,206.74525,994.0,0.63380927,72.92775,1
3.9272017,203.97417,1017.0,0.64061576,72.92775,1
1.8879923,169.16115,1021.0,0.60456586,72.92775,1
1.8481891,155.40402,1011.0,0.64602464,72.92775,1
1.0689031,202.80519,1008.0,0.6491527,71.07292,1
1.5557139,241.03468,1018.0,0.69174623,71.07292,1
0.9487806,266.4975,1031.0,0.6885179,71.07292,1
4.5791826,193.42567,1106.0,0.60064095,71.07292,1
5.271838,287.87936,1112.0,0.5074309,67.899414,1
0.92262834,243.91093,935.0,0.6611678,72.92775,1
1.4091259,210.26344,935.0,0.6058264,72.92775,1
2.4096131,253.23097,947.0,0.60178614,72.92775,1
2.6429214,238.26256,974.0,0.6514664,72.92775,1
2.3266168,140.52908,985.0,0.60155326,72.92775,1
1.5774183,282.7347,1014.0,0.68903524,72.92775,1
0.6911385,109.601585,1024.0,0.66319144,72.92775,1
0.9544385,228.085,937.0,0.6647149,72.92775,1
0.55108905,161.20306,930.0,0.64875335,72.92775,1
1.3637131,287.30734,934.0,0.60743403,72.92775,1
4.464622,285.01974,993.0,0.49217418,69.39432,1
4.0296407,259.2396,939.0,0.42162076,71.42027,1
1.5040364,239.93861,912.0,0.44526818,71.42027,1
3.634061,199.97072,916.0,0.4411149,71.42027,1
4.830834,165.85143,899.0,0.44344822,71.42027,1
8.892105,171.64853,880.0,0.47192404,71.42027,1
2.9677708,336.52148,893.0,0.6747749,73.83593,1
2.9401743,344.84695,908.0,0.67660385,73.83593,1
2.5822635,350.77603,906.0,0.7246878,73.83593,1
2.297158,349.61777,915.0,0.6985084,73.83593,1
3.2510955,335.2813,913.0,0.6251618,73.83593,1
7.5585494,352.39685,938.0,0.6669284,73.83593,1
6.638833,1.5253199,928.0,0.69286543,73.83593,1
3.9950678,358.3053,925.0,0.6935616,73.83593,1
6.199993,347.92798,932.0,0.6061088,73.83593,1
10.804513,329.78397,952.0,0.5928239,73.83593,1
11.535084,335.80322,1025.0,0.64293617,73.83593,1
8.426379,27.394306,1033.0,0.63131195,73.83593,1
13.993705,349.2528,1028.0,0.7555073,73.83593,1
12.669039,13.550197,1008.0,0.7437693,73.83593,1
8.801028,358.85342,977.0,0.6941306,73.83593,1
9.365644,344.38098,1011.0,0.67440915,73.83593,1
7.6011744,329.8008,1020.0,0.6419028,73.83593,1
7.779856,309.5572,1076.0,0.6444401,73.83593,1
1.054079,63.90227,1122.0,0.611825,73.83593,1
6.2756467,312.9064,1170.0,0.725396,73.83593,1
7.3795877,47.18606,1144.0,0.738315,73.83593,1
10.037969,19.42316,1078.0,0.6812697,73.83593,1
7.3368363,14.871743,1087.0,0.6818972,73.83593,1
3.1413193,67.22371,1046.0,0.69715303,73.83593,1
4.7471175,170.69655,1038.0,0.7237698,73.83593,1
9.265978,194.66634,1095.0,0.7327321,73.83593,1
2.332326,278.57147,1142.0,0.7200738,73.83593,1
5.9544334,90.0,1134.0,0.69062006,73.83593,1
8.1783495,92.8246,1041.0,0.6840271,73.83593,1
10.980697,211.79572,1084.0,0.70842475,73.83593,1
9.668172,164.17078,1087.0,0.6999189,73.83593,1
15.631912,326.64316,1012.0,0.5635491,71.99435,1
16.901035,336.78384,974.0,0.49397847,74.0585,1
19.722662,332.74503,1049.0,0.514337,71.99435,1
18.352875,316.53906,1133.0,0.5490703,71.99435,1
19.978298,341.62308,1270.0,0.5415928,71.99435,1
13.429033,303.42523,1194.0,0.48629183,74.0585,1
10.071998,341.00232,1251.0,0.534366,71.99435,1
16.33167,321.92776,1250.0,0.6312565,71.99435,1
15.839843,236.44623,1104.0,0.5605233,74.0585,1
15.553256,252.43958,1215.0,0.55335766,71.99435,1
18.493711,295.246,1361.0,0.5224149,71.99435,1
1.9885471,314.37436,753.0,0.42167056,73.289185,-1
1.2185891,357.2136,756.0,0.6222293,73.289185,-1
0.818568,299.71475,720.0,0.5036396,73.289185,-1
1.2494031,95.32349,747.0,0.44378108,70.842896,-1
0.6981023,355.13168,755.0,0.3468902,70.842896,-1
0.59528923,275.588,778.0,0.4468415,68.91362,-1
1.0774354,225.62563,786.0,0.45266816,68.91362,-1
1.2759011,335.30057,810.0,0.46432763,68.91362,-1
